Name,RT,Volume,Log P,Anchor,prefix,suffix,a,b,c,prefix_d,prefix_e,prefix_f,sugar_count,classification,outlier_reason,regression_group,priority_series,regression_r_squared,regression_equation,regression_p_value
GD1(34:1;O2),7.588,530172,0.44,T,GD1,(34:1;O2),34,1,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(34:1;O2),8.059,401790,0.44,T,GD1,(34:1;O2),34,1,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(34:1;O2),9.596,46493,0.44,F,GD1,(34:1;O2),34,1,O2,G,D,1,6,true,,,,,,
GD1(35:1;O2),8.386,143039,0.99,T,GD1,(35:1;O2),35,1,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(35:1;O2),8.862,78453,0.99,T,GD1,(35:1;O2),35,1,O2,G,D,1,6,true,,,,,,
GD1(36:0;O2),10.198,606111,2.04,T,GD1,(36:0;O2),36,0,O2,G,D,1,6,true,,GD1_bc_0_O2,,0.9989,RT = 1.3301 * LogP + 7.5120,2.0966e-02
GD1(36:1;O2),9.144,32661372,1.53,T,GD1,(36:1;O2),36,1,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(36:1;O2),9.652,29585448,1.53,T,GD1,(36:1;O2),36,1,O2,G,D,1,6,true,,,,,,
GD1(36:1;O2),8.701,390312,1.53,F,GD1,(36:1;O2),36,1,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(36:2;O2),8.092,1000557,0.59,T,GD1,(36:2;O2),36,2,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(36:2;O2),8.55,435346,0.59,T,GD1,(36:2;O2),36,2,O2,G,D,1,6,true,,,,,,
GD1(36:2;O2),8.222,223298,0.59,F,GD1,(36:2;O2),36,2,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(37:1;O2),9.952,837677,2.07,T,GD1,(37:1;O2),37,1,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(37:1;O2),10.429,581740,2.07,T,GD1,(37:1;O2),37,1,O2,G,D,1,6,true,,,,,,
GD1(37:1;O2),9.526,9736,2.07,F,GD1,(37:1;O2),37,1,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(38:0;O2),11.73,1489039,3.13,F,GD1,(38:0;O2),38,0,O2,G,D,1,6,true,,GD1_bc_0_O2,,0.9989,RT = 1.3301 * LogP + 7.5120,2.0966e-02
GD1(38:1;O2),11.175,29604498,2.61,T,GD1,(38:1;O2),38,1,O2,G,D,1,6,true,,,,,,
GD1(38:1;O2),10.693,23732150,2.61,T,GD1,(38:1;O2),38,1,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(38:1;O2),10.236,384138,2.61,F,GD1,(38:1;O2),38,1,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(39:1;O2),11.476,352838,3.15,T,GD1,(39:1;O2),39,1,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(39:1;O2),11.915,294692,3.15,T,GD1,(39:1;O2),39,1,O2,G,D,1,6,true,,,,,,
GD1(40:0;O2),13.084,59330,4.21,F,GD1,(40:0;O2),40,0,O2,G,D,1,6,true,,GD1_bc_0_O2,,0.9989,RT = 1.3301 * LogP + 7.5120,2.0966e-02
GD1(40:1;O2),12.597,1103747,3.69,T,GD1,(40:1;O2),40,1,O2,G,D,1,6,true,,,,,,
GD1(40:1;O2),12.185,891637,3.69,T,GD1,(40:1;O2),40,1,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(40:1;O2),11.755,43664,3.69,F,GD1,(40:1;O2),40,1,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(40:3;O2),11.328,550399,1.83,F,GD1,(40:3;O2),40,3,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(40:3;O2),11.731,368112,1.83,F,GD1,(40:3;O2),40,3,O2,G,D,1,6,true,,,,,,
GD1(40:3;O2),8.449,158841,1.83,F,GD1,(40:3;O2),40,3,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(41:1;O2),13.314,122414,4.24,T,GD1,(41:1;O2),41,1,O2,G,D,1,6,true,,,,,,
GD1(41:1;O2),12.896,71934,4.24,T,GD1,(41:1;O2),41,1,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(41:2;O2),12.16,29643,3.3,F,GD1,(41:2;O2),41,2,O2,G,D,1,6,true,,,,,,
GD1(41:2;O2),11.731,18211,3.3,F,GD1,(41:2;O2),41,2,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(42:1;O2),13.898,88648,4.78,T,GD1,(42:1;O2),42,1,O2,G,D,1,6,true,,,,,,
GD1(42:1;O2),13.521,62453,4.78,T,GD1,(42:1;O2),42,1,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(42:2;O2),12.813,129742,3.84,T,GD1,(42:2;O2),42,2,O2,G,D,1,6,true,,,,,,
GD1(42:2;O2),12.408,47295,3.84,T,GD1,(42:2;O2),42,2,O2,G,D,1,6,outlier,isomer_rule,,,,,
GD1(42:3;O2),10.007,87332,2.91,F,GD1,(42:3;O2),42,3,O2,G,D,1,6,outlier,no_linear_relationship,,,,,
GD1+2OAc(36:2;O2),9.213,24152,1.74,F,GD1+2OAc,(36:2;O2),36,2,O2,G,D,1,6,outlier,no_linear_relationship,,,,,
GD1+2OAc(38:1;O2),13.362,47874,3.76,F,GD1+2OAc,(38:1;O2),38,1,O2,G,D,1,6,outlier,no_linear_relationship,,,,,
GD1+dHex(36:1;O2),9.56,9721932,0.43,T,GD1+dHex,(36:1;O2),36,1,O2,G,D,1,7,outlier,isomer_rule,GD1+dHex_c_O2,,0.9944,RT = 1.2961 * LogP + 9.1384,7.8915e-07
GD1+dHex(36:1;O2),9.893,28336,0.43,F,GD1+dHex,(36:1;O2),36,1,O2,G,D,1,7,true,,GD1+dHex_c_O2,,0.9944,RT = 1.2961 * LogP + 9.1384,7.8915e-07
GD1+dHex(37:1;O2),10.34,158106,0.98,F,GD1+dHex,(37:1;O2),37,1,O2,G,D,1,7,true,,GD1+dHex_c_O2,,0.9944,RT = 1.2961 * LogP + 9.1384,7.8915e-07
